code_commune_insee,agri_nul,resid_nul,autres_nul,rervice_nul,autres_faible,agri_faible,indus_nul,autres_fort,resid_moyen,rervice_fort,indus_moyen,rervice_moyen,autres_moyen,rervice_faible,resid_fort,agri_fort,resid_faible,agri_moyen,indus_faible,indus_fort,nb_bats_total,nb_bats_exposition_tri,pct_exposition_tri
31249,6,402,693,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,0,0.0
31250,41,244,640,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,0.0
31251,31,71,213,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0.0
31252,1,680,1206,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1896,0,0.0
31253,5,752,1454,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0.0
31254,5,971,2433,281,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3748,0,0.0
31255,4,194,396,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0.0
31256,0,106,130,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0.0
31258,7,82,197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0.0
31259,3,616,1319,7,55,0,0,25,99,1,0,0,235,7,2,0,24,0,0,0,2393,448,0.18721270371918095
31260,5,56,152,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0.0
31261,21,409,832,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0.0
31262,4,151,275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0.0
31263,6,1086,1551,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2664,0,0.0
31264,1,184,306,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0.0
31265,6,123,335,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0.0
31266,11,54,182,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0.0
31267,8,31,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0.0
31268,2,60,203,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0.0
31269,1,501,1139,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651,0,0.0
31270,4,458,1082,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,0,0.0
31271,32,744,1399,28,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,0,0.0
31272,1,24,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0.0
31273,19,1009,2071,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3132,0,0.0
31274,8,89,313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0.0
31275,6,71,219,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.0
31276,17,142,627,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0.0
31277,8,540,1133,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0.0
31278,24,152,463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0.0
31279,7,26,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0.0
31280,2,163,351,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0.0
31281,21,454,916,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,0,0.0
31282,18,1918,4001,97,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,6074,0,0.0
31283,37,106,229,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0.0
31284,0,531,911,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,0.0
31285,9,272,536,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0.0
31286,18,258,806,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0.0
31287,4,1031,2398,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3463,0,0.0
31288,30,134,407,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0.0
31289,9,105,400,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0.0
31290,0,50,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0.0
31291,19,2721,6359,78,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9187,0,0.0
31292,18,30,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0.0
31293,1,342,652,23,1005,7,79,0,11,0,0,0,36,9,0,0,563,4,0,0,2732,1635,0.5984626647144948
31294,1,43,98,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0.0
31295,1,31,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0.0
31296,40,209,494,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,757,0,0.0
31297,3,813,1209,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,0,0.0
31299,47,1186,2490,38,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3780,0,0.0
31300,2,58,196,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0.0
31301,2,60,237,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.0
31302,8,124,502,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0.0
31303,23,1011,2048,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110,0,0.0
31304,13,185,320,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0.0
31305,4,81,285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0.0
31306,0,107,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0.0
31308,6,37,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0.0
31309,29,100,282,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0.0
31310,6,107,197,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0.0
31311,9,386,857,18,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,0,0.0
31312,1,17,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0.0
31313,0,94,187,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0.0
31314,0,188,373,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0.0
31315,3,495,742,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,0,0.0
31316,0,346,508,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0.0
31317,43,163,401,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0.0
31318,20,89,228,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0.0
31319,0,55,195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0.0
31320,43,408,854,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,0.0
31321,2,67,129,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0.0
